Date,neg1_topic,pos1_topic,pos2_topic,neg1_content,pos1_content,pos2_content
2021-03-29 21:00:00,0.23895350521441233,0.5171547406350805,0.345816655692591,0.08370014248900062,0.8290737331236347,0.5591917214627139
2021-03-30 10:00:00,0.8567257587367725,-0.8911547979011182,-0.5706829699628843,0.10797843497959428,-0.618625413364525,-0.07741388901597789
2021-03-30 16:00:00,0.9560960939745826,-0.950046990489386,-0.6467541935023122,0.765131144164344,-0.9136241711278545,-0.534272033893827
2021-03-30 17:00:00,0.797710251603447,-0.6463456040870799,-0.42835037698958783,0.04165114811491531,-0.2837060272410725,-0.01783216501756228
2021-03-30 21:00:00,0.014874781662013533,0.3716679049385638,0.01719078330831268,0.3531339677056055,0.26149886411254736,0.1695902707740034
2021-03-31 14:00:00,0.12574395326581675,0.7413205873373865,0.49482359102108164,0.4496830030397567,0.07662963032771175,0.05020384593886163
2021-03-31 22:00:00,0.6925277193987579,-0.43569561484166563,-0.2854753875445853,0.264208370502106,0.4541415755472307,0.2984377358905764
2021-04-01 11:00:00,0.03354827029570152,0.9263270773536421,0.5967766466106036,0.6999209161821315,-0.8620957943290404,-0.4800453055919711
2021-04-01 14:00:00,0.07631092794563506,0.8425360758098731,0.5645911473684582,0.7836673405704524,-0.5790519759503567,-0.388950598451886
2021-04-01 17:00:00,0.5996657587600285,-0.2248541846343695,-0.14807581734436767,0.10724924750396761,-0.6945704631759393,-0.08273263648939888
2021-04-01 19:00:00,0.10991040289669028,0.7632304125918019,0.49373608761984766,0.07485407535095456,0.8315173570891361,0.5231912897739694
2021-04-01 22:00:00,0.07031770638411404,0.813808158533251,0.45381456531557623,0.058114174536935334,0.701626816055379,0.22976232340422267
2021-04-02 17:00:00,0.012239058764184222,0.3345676606529203,0.012085040097366113,0.47766283287627503,-0.3977751960730064,-0.20331946075515647
2021-04-02 22:00:00,0.05883523788953998,0.8793551894291698,0.5933369351406372,0.051762073784899915,0.8917905570954916,0.5939833151842949
2021-04-03 14:00:00,0.03653111472119904,0.9213001435863164,0.6016672274706011,0.443546498765042,-0.8525719548831615,-0.33241407375630183
2021-04-05 08:00:00,0.9019560578700438,-0.8925816498453293,-0.5929573133373972,0.057610282820156726,0.8813918657982981,0.5930938920940395
2021-04-05 18:00:00,0.03510415887343706,0.9264256997458282,0.6173784549013119,0.1251985190994348,0.7433846707744804,0.49753394599516026
2021-04-05 20:00:00,0.1124298392116137,0.7693704547473013,0.5154010734490478,0.026609779296398215,0.9444005855873527,0.6315619862317058
2021-04-06 17:00:00,0.12073135994395688,0.7553913038595257,0.5100339050110797,0.024471587885806237,0.9480581547902793,0.6270002525521553
2021-04-07 11:00:00,0.07238309274122734,0.8504064754722348,0.5695186694511026,0.031661462156703554,0.9314794138043675,0.6067191802549735
2021-04-08 14:00:00,0.030260776708962267,0.9350735572733094,0.6130387968661305,0.029556051658241017,0.9397360780825166,0.6393840517370729
2021-04-08 21:00:00,0.028825701340314893,0.9392676249423909,0.624138358557082,0.021054334546358612,0.9560059184363228,0.6398345316585857
2021-04-09 15:00:00,0.09149183503336897,0.812727371522332,0.5467038032845636,0.036714554106552555,0.49717285341322115,0.06768873795825375
2021-04-10 16:00:00,0.03217629379231066,0.9337744450739147,0.6307824117136058,0.12014651119490696,0.7529289769662977,0.50303344991799
2021-04-11 18:00:00,0.6460223745851041,-0.467445414792842,-0.28773639090852143,0.11772696542805998,0.5576399879210109,0.2355077469523619
2021-04-12 11:00:00,0.016279613204980323,0.5485683981386561,0.03819265731361044,0.024039775849574084,0.9025609312024664,0.3610934638247391
2021-04-12 17:00:00,0.11437763870241843,0.7411171112272869,0.4622578902317771,0.01689075761028565,0.7428978643016136,0.0916585252798739
2021-04-13 09:00:00,0.009581861250065203,0.2609101717928624,0.0066785337017343915,0.04038181283788908,-0.3339845381417066,-0.019626984658660678
2021-04-13 12:00:00,0.010637803439109913,0.44220765997594447,0.016551639367781378,0.010290517059627703,0.7062057479141359,0.04780644964389108
2021-04-13 13:00:00,0.9190901703049167,-0.9031112481486396,-0.6061214169774396,0.3284575861403218,-0.5506560433269445,-0.19310041073931458
2021-04-13 15:00:00,0.01291794716847629,0.6533387823922552,0.04695125278501046,0.00879298800008468,0.6996463430274601,0.03980501992072061
2021-04-13 21:00:00,0.08714828997340497,-0.2949041602405629,-0.03719591876692983,0.03286311848900732,0.9279601811805577,0.5986693529120646
2021-04-14 12:00:00,0.2459312713019569,0.5043008682710317,0.337632607349311,0.11146770729127453,0.7745705187090545,0.5242430064934347
2021-04-14 13:00:00,0.009008814303864843,0.28436078861803266,0.007070368506538091,0.014925539771570634,0.06259619747896948,0.0019620991943364056
2021-04-14 14:00:00,0.9530591627431585,-0.9558341353255985,-0.6481036797548994,0.8770377105253764,-0.9412139268344591,-0.6034819594705898
2021-04-14 15:00:00,0.9516511506308737,-0.9523813059469504,-0.6457302079374972,0.1232986719645065,0.7447024267202027,0.49492024337265866
2021-04-14 16:00:00,0.022393058735209793,0.9393721634240906,0.5180320597527036,0.0356123370259081,0.9128349253774375,0.5424693715469133
2021-04-14 18:00:00,0.04051929833052451,0.9103605063582235,0.5827530630102548,0.009531640261258516,0.2700361714540258,0.00696122747471642
2021-04-14 19:00:00,0.1760710127332505,0.5185168629156032,0.27948817952228644,0.6165052995772723,-0.2812319902597441,-0.18323490079241675
2021-04-14 20:00:00,0.050705410162319164,0.8093258640291923,0.3433561704539175,0.027243038893146804,0.9413222487736307,0.6156706032684173
